State Contribution,Employee Contribution,Accrued Liabilities,Accrued Assets,Unfunded Liabilities,Unfunded Percentage
131.33,14.05,2626.81,931.71,1695.10,0.36
146.77,13.92,2703.21,997.05,1706.16,0.37
146.78,13.83,2775.38,1046.17,1729.21,0.38
147.68,13.75,2842.24,1096.00,1746.24,0.39
149.72,13.82,2902.83,1156.71,1746.12,0.40
151.42,13.86,2958.09,1215.25,1742.84,0.41
152.14,13.89,3007.03,1270.12,1736.91,0.42
152.34,14.11,3049.80,1320.93,1728.87,0.43
152.38,14.30,3085.94,1367.06,1718.88,0.44
153.09,14.57,3115.42,1409.42,1706.00,0.45
154.10,14.70,3138.01,1447.99,1690.02,0.46
154.83,14.68,3154.01,1482.57,1671.44,0.47
156.01,14.92,3163.60,1514.05,1649.55,0.48
157.00,15.32,3166.96,1542.63,1624.33,0.49
158.34,15.57,3164.83,1569.16,1595.67,0.50
160.67,16.22,3156.86,1595.02,1561.84,0.51
163.61,16.90,3143.76,1621.64,1522.12,0.52
171.63,17.60,3126.06,1655.06,1471.00,0.53
174.83,18.34,3104.51,1691.64,1412.87,0.55
178.53,19.03,3079.54,1732.48,1347.06,0.56
182.05,19.75,3051.57,1778.69,1272.88,0.58
185.98,20.47,3021.20,1831.57,1189.63,0.61
190.17,21.19,2989.11,1892.57,1096.54,0.63
194.64,21.89,2955.82,1963.11,992.71,0.66
199.26,22.61,2922.20,2044.85,877.35,0.70
204.19,23.32,2888.59,2139.24,749.35,0.74
209.27,24.05,2855.81,2248.00,607.81,0.79
214.60,24.78,2824.53,2372.92,451.61,0.84
220.14,25.52,2795.19,2515.68,279.51,0.90
