State Contribution,Employee Contribution,Accrued Liabilities,Accrued Assets,Unfunded Liabilities,Unfunded Percentage
2097.00,255.00,47269.00,16686.00,30583.00,0.35
2413.00,241.00,49010.00,17856.00,31154.00,0.36
2378.00,245.00,50733.00,18787.00,31946.00,0.37
2432.00,249.00,52430.00,19792.00,32638.00,0.38
2505.00,254.00,54091.00,21057.00,33034.00,0.39
2572.00,258.00,55705.00,22326.00,33379.00,0.40
2625.00,262.00,57262.00,23578.00,33684.00,0.41
2675.00,267.00,58752.00,24805.00,33947.00,0.42
2728.00,271.00,60166.00,26007.00,34159.00,0.43
2790.00,276.00,61500.00,27192.00,34308.00,0.44
2856.00,281.00,62756.00,28369.00,34387.00,0.45
2921.00,286.00,63930.00,29537.00,34393.00,0.46
2993.00,292.00,65025.00,30708.00,34317.00,0.47
3064.00,298.00,66044.00,31888.00,34156.00,0.48
3141.00,305.00,66984.00,33087.00,33897.00,0.49
3227.00,313.00,67845.00,34318.00,33527.00,0.51
3320.00,320.00,68628.00,35600.00,33028.00,0.52
3684.00,328.00,69339.00,37223.00,32116.00,0.54
3787.00,336.00,69976.00,38946.00,31030.00,0.56
3892.00,345.00,70541.00,40784.00,29757.00,0.58
4000.00,354.00,71039.00,42757.00,28282.00,0.60
4112.00,363.00,71478.00,44888.00,26590.00,0.63
4226.00,373.00,71867.00,47200.00,24667.00,0.66
4341.00,383.00,72215.00,49718.00,22497.00,0.69
4456.00,393.00,72534.00,52467.00,20067.00,0.72
4573.00,404.00,72833.00,55476.00,17357.00,0.76
4691.00,414.00,73125.00,58773.00,14352.00,0.80
4810.00,425.00,73418.00,62388.00,11030.00,0.85
4929.00,435.00,73721.00,66350.00,7371.00,0.90
