State Contribution,Employee Contribution,Accrued Liabilities,Accrued Assets,Unfunded Liabilities,Unfunded Percentage
1671.40,283.50,42088.10,18416.10,23672.00,0.44
1753.70,285.50,43224.20,19033.30,24190.80,0.44
1796.70,288.60,44319.70,19328.80,24990.90,0.44
1854.60,292.40,45369.60,19764.60,25604.90,0.44
1938.90,296.80,46370.30,20470.90,25899.40,0.44
2009.20,301.50,47318.10,21181.10,26136.90,0.45
2060.50,306.50,48208.40,21874.40,26334.00,0.45
2110.70,311.90,49039.40,22549.90,26489.60,0.46
2163.00,317.60,49804.50,23205.50,26598.90,0.47
2222.50,323.50,50502.40,23850.40,26652.10,0.47
2285.30,329.70,51134.70,24492.20,26642.50,0.48
2345.50,336.30,51702.50,25133.70,26568.90,0.49
2409.50,343.10,52203.70,25780.60,26423.10,0.49
2471.30,350.00,52634.00,26431.60,26202.40,0.50
2535.70,357.10,52990.90,27092.40,25898.50,0.51
2608.10,364.30,53333.00,27836.00,25497.00,0.52
2688.30,371.90,53613.00,28629.50,24983.50,0.53
2804.80,379.70,53835.00,29521.60,24313.40,0.55
2886.40,387.70,54001.20,30488.80,23512.30,0.57
2970.20,395.90,54113.70,31544.90,22568.80,0.58
3056.10,404.30,54174.60,32704.10,21470.50,0.60
3144.10,413.00,54187.70,33983.10,20204.70,0.63
3234.90,422.00,54160.70,35403.20,18757.50,0.65
3329.20,431.30,54102.40,36988.60,17113.80,0.68
3425.40,441.20,54024.80,38765.30,15259.50,0.72
3526.60,451.50,53944.50,40766.80,13177.70,0.76
3631.50,462.00,53871.00,43020.90,10850.20,0.80
3740.10,472.70,53815.50,45558.20,8257.30,0.85
3851.00,483.50,53788.20,48409.40,5378.80,0.90
