State Contribution,Employee Contribution,Accrued Liabilities,Accrued Assets,Unfunded Liabilities,Unfunded Percentage
3986.60,1034.30,122501.50,49289.30,73212.30,0.40
4565.00,939.70,126377.20,51401.70,74975.50,0.41
4700.50,966.60,130252.70,52851.20,77401.60,0.41
4847.70,994.30,134124.40,54700.50,79423.90,0.41
5043.30,1022.70,137981.70,57370.90,80610.90,0.42
5217.20,1050.60,141825.90,60152.00,81673.90,0.42
5352.20,1079.40,145651.20,63007.90,82643.30,0.43
5479.20,1109.10,149452.00,65932.90,83519.10,0.44
5613.80,1139.70,153217.20,68933.30,84283.80,0.45
5770.10,1171.30,156929.90,72027.10,84902.70,0.46
5933.40,1203.80,160570.70,75218.10,85352.60,0.47
6085.40,1236.80,164126.10,78495.20,85630.90,0.48
6247.30,1271.10,167580.30,81868.00,85712.30,0.49
6404.10,1306.70,170915.90,85331.10,85584.90,0.50
6570.20,1343.60,174112.80,88892.10,85220.60,0.51
6760.30,1381.70,177154.00,92579.50,84574.50,0.52
6972.50,1420.70,180018.40,96417.60,83600.80,0.54
7879.20,1460.70,182693.00,101152.00,81541.00,0.55
8102.20,1502.00,185160.40,106121.10,79039.20,0.57
8332.30,1544.70,187417.90,111359.40,76058.50,0.59
8571.80,1589.10,189473.00,116919.10,72554.00,0.62
8816.70,1634.50,191288.50,122809.90,68478.60,0.64
9064.40,1680.40,192866.10,129080.60,63785.50,0.67
9319.80,1727.80,194198.90,135780.00,58418.90,0.70
9573.80,1774.80,195302.80,142968.80,52334.00,0.73
9829.20,1822.20,196197.70,150715.80,45481.90,0.77
10088.00,1870.20,196928.00,159116.80,37811.20,0.81
10352.20,1919.10,197557.30,168288.20,29269.10,0.85
10612.90,1967.50,198129.60,178316.60,19813.00,0.90
